身高,体重,肺活量,50米跑,立定跳远,坐位体前屈,800米跑
166.9,46.2,2926,7.43,200,17,"3'40"""
165,48,2516,9.8,168,7,"4'42"""
153,41.5,2498,8.3,170,20,"3'36"""
167,54.7,2862,8.28,182,28.8,"3'38"""
167.2,48.8,2835,9.65,172,11.4,"4'09"""
161.8,48.8,2902,8.63,195,22.6,"3'34"""
165,54,2809,8.73,190,21.5,"3'57"""
161.3,53.3,2926,8.96,183,16.5,"3'41"""
158.5,55.8,2493,8.81,173,17.2,"3'50"""
167,56,3569,9,163,12.4,"3'47"""
161.1,60.1,2920,10.3,156,11.1,"4'38"""
154.4,46.2,2173,8.73,170,22.8,"3'51"""
157.8,71.5,3223,9.4,160,19.3,"4'36"""
161.2,46.9,2453,8.23,190,18.4,"3'40"""
162.1,51.2,3062,8.76,185,20.9,"3'39"""
157.5,52.5,2885,7.7,195,23.9,"3'59"""
160.9,50.5,2839,9.11,165,1.9,"3'55"""
158.8,50.3,2977,8.02,200,14.2,"3'38"""
158.8,51.9,3155,8.19,197,20.8,"3'30"""
161.7,53.4,3037,8.78,168,14.2,"3'42"""
159.6,59.7,2869,8.59,185,25.2,"3'52"""
166.8,60.5,3274,8.06,210,22.5,"3'47"""
156.4,42.6,2292,8.91,180,10.2,"3'51"""
150.7,48.6,2998,8.34,192,15.6,"3'37"""
162,48.6,2429,8.53,165,16.2,"3'54"""
164.7,53.3,3720,7.45,193,25.1,"3'24"""
159.9,43.1,2537,8,208,19.1,"3'44"""
161.7,48.9,2759,8.23,190,8.3,"3'30"""
169.1,63.5,2913,8.33,200,12.7,"3'54"""
162,49.2,3211,8,202,20.4,"3'33"""
170.7,73.2,3584,9.03,175,18.1,"4'01"""
159.7,47.9,2466,9.11,200,30.4,"3'34"""
155.9,50.8,2944,9.4,162,19.6,"3'46"""
165.1,53.8,2819,8.73,170,12,"3'40"""
155.1,54.1,2601,9.6,169,8.6,"4'08"""
162.1,51.2,2578,8.69,200,21.2,"3'59"""
170.7,53.9,3531,9.4,168,16.8,"4'03"""
171.1,55.5,3355,9.49,190,24.3,"3'59"""
155.7,52.7,2888,8.61,180,15.1,"3'43"""
169.3,55.9,3648,8.9,175,11.5,"3'37"""
160.1,58,3447,8.69,186,18.5,"4'13"""
165.8,53.1,2751,9,195,16.2,"3'38"""
155.7,40.6,2069,9.15,175,14.2,"3'56"""
164.5,54,2409,8.36,182,19,"3'38"""
150.1,47.6,2688,8.15,182,7.6,"3'46"""
162.7,51.8,2753,9.02,185,29.8,"3'39"""
169.2,58.9,3120,8.69,192,20.9,"4'03"""
162.1,49,3206,9.03,188,25.9,"3'40"""
